Profile_Name,Source,Navigation_Level,Referrer_Url,Webpage_Url,Click_Utc_Ts
User 4,Source 0,signupPrompt,,,08-10-2022 14:04
User 4,Source 0,browseTitles,,,08-10-2022 14:04
User 4,Source 1,movieDetails,,,30-09-2022 14:53
User 4,Source 1,browseTitles,,,30-09-2022 14:53
User 4,Source 1,movieDetails,,,30-09-2022 14:53
User 4,Source 1,episodesSelector,,,30-09-2022 14:53
User 4,Source 1,episodesSelector,,,30-09-2022 14:53
User 4,Source 1,movieDetails,,,30-09-2022 14:53
User 4,Source 1,playback,,,30-09-2022 14:53
User 4,Source 1,movieDetails,,,30-09-2022 14:53
User 4,Source 1,movieDetails,,,30-09-2022 14:53
User 4,Source 1,playback,,,30-09-2022 14:53
User 4,Source 1,profilesGate,,,30-09-2022 14:52
User 4,Source 1,movieDetails,,,30-09-2022 14:52
User 4,Source 1,profilesGate,,,30-09-2022 14:52
User 4,Source 0,profilesGate,,,25-09-2022 04:48
User 4,Source 0,browseTitles,,,25-09-2022 04:48
User 4,Source 0,browseTitles,,,25-09-2022 04:48
User 4,Source 0,browseTitles,,,25-09-2022 04:48
User 4,Source 0,settings,,,24-09-2022 21:52
User 4,Source 0,accountMenu,,,24-09-2022 21:52
User 4,Source 0,webLink,,,24-09-2022 21:52
User 4,Source 0,accountMenu,,,24-09-2022 21:52
User 4,Source 0,accountMenu,,,24-09-2022 21:52
User 4,Source 0,webLink,,,24-09-2022 21:52
User 4,Source 0,browseTitles,,,24-09-2022 21:52
User 4,Source 0,accountMenu,,,24-09-2022 21:52
User 4,Source 0,profilesGate,,,24-09-2022 21:52
User 4,Source 0,browseTitles,,,24-09-2022 21:52
User 4,Source 1,playback,,,22-09-2022 09:57
User 4,Source 1,postPlay,,,22-09-2022 09:57
User 4,Source 1,movieDetails,,,22-09-2022 08:50
User 4,Source 1,playback,,,22-09-2022 08:50
User 4,Source 1,profilesGate,,,22-09-2022 08:50
User 4,Source 1,profilesGate,,,22-09-2022 08:50
User 4,Source 1,movieDetails,,,22-09-2022 08:50
User 4,Source 1,screenSaver,,,22-09-2022 05:15
User 4,Source 1,movieDetails,,,22-09-2022 05:15
User 4,Source 1,movieDetails,,,22-09-2022 05:15
User 4,Source 1,screenSaver,,,22-09-2022 05:15
User 4,Source 1,movieDetails,,,22-09-2022 05:10
User 4,Source 1,screenSaver,,,22-09-2022 05:10
User 4,Source 1,playback,,,22-09-2022 05:05
User 4,Source 1,movieDetails,,,22-09-2022 05:05
User 4,Source 1,playback,,,22-09-2022 04:30
User 4,Source 1,movieDetails,,,22-09-2022 04:30
User 4,Source 1,profilesGate,,,22-09-2022 04:30
User 4,Source 1,movieDetails,,,22-09-2022 04:30
