Profile_Name,Country_Iso_Code,Device,Is_Kids,Query_Typed,Displayed_Name,Action,Section,Utc_Timestamp
User 4,AE,Device 0,0,,Manifest: Season 1:Pilotf,play,prequery_results,01-08-2022 13:59
User 4,AE,Device 0,0,,,select,prequery_results,01-08-2022 13:59
User 4,AE,Device 0,0,,Manifest: Season 1:Pilot,play,prequery_results,01-08-2022 13:59
User 4,AE,Device 0,0,,,select,prequery_results,01-08-2022 13:59
User 4,AE,Device 0,0,the gray,The Gray Man,add,title_results,17-07-2022 13:59
User 4,AE,Device 0,0,the gray,The Gray Man,select,title_results,17-07-2022 13:59
User 4,AE,Device 0,0,,Stranger Things 4:Chapter Nine: The Piggyback,play,prequery_results,01-07-2022 17:39
User 4,AE,Device 0,0,,Stranger Things 4:Chapter Eight: Papa,play,prequery_results,01-07-2022 17:16
User 4,AE,Device 0,0,,Stranger Things 4:Chapter Eight: Papa,play,prequery_results,01-07-2022 17:15
User 4,AE,Device 0,0,,Stranger Things 4:Chapter Eight: Papa,play,prequery_results,01-07-2022 17:04
User 4,AE,Device 0,0,,,select,prequery_results,01-07-2022 17:04
User 4,AE,Device 0,0,stra,Stranger Things 4:Chapter Eight: Papa,play,title_results,01-07-2022 14:28
User 4,AE,Device 0,0,stra,Stranger Things 4:Chapter Eight: Papa,play,title_results,01-07-2022 14:13
User 4,AE,Device 0,0,stra,Stranger Things 4:Chapter Eight: Papa,play,title_results,01-07-2022 14:10
User 4,AE,Device 0,0,stra,,select,title_results,01-07-2022 14:09
User 4,AE,Device 0,0,sarah shahi,A Perfect Pairing,select,title_results,28-06-2022 04:00
User 4,AE,Device 0,0,asu,Asura Guru,play,title_results,27-06-2022 07:49
User 4,AE,Device 0,0,asu,Asura Guru,select,title_results,27-06-2022 07:48
User 4,AE,Device 0,0,asura,Asura Guru,play,title_results,27-06-2022 05:19
User 4,AE,Device 0,0,asura,Asura Guru,play,title_results,27-06-2022 05:10
User 4,AE,Device 0,0,asura,Asura Guru,select,title_results,27-06-2022 05:10
User 4,AE,Device 0,0,arr,Arrow: Season 3:Suicidal Tendencies,play,title_results,14-06-2022 03:40
User 4,AE,Device 0,0,arr,,select,title_results,14-06-2022 03:40
User 4,AE,Device 0,0,arr,Arrow: Season 3:Suicidal Tendencies,play,title_results,13-06-2022 22:02
User 4,AE,Device 0,0,arr,,select,title_results,13-06-2022 22:02
User 4,AE,Device 0,0,arr,,select,title_results,13-06-2022 22:02
User 4,AE,Device 0,0,arr,,select,title_results,13-06-2022 22:02
User 4,AE,Device 0,0,arr,Deep Impact,select,title_results,13-06-2022 22:02
User 4,AE,Device 0,0,arr,,select,title_results,13-06-2022 22:02
User 4,AE,Device 0,0,arr,Arrow: Season 3:Suicidal Tendencies,play,title_results,13-06-2022 21:44
User 4,AE,Device 0,0,arr,,select,title_results,13-06-2022 21:43
User 4,AE,Device 0,0,arr,Arrow: Season 3:Midnight City,play,title_results,13-06-2022 18:09
User 4,AE,Device 0,0,arr,,select,title_results,13-06-2022 18:09
User 4,AE,Device 0,0,arr,Arrow: Season 3:Corto Maltese,play,title_results,13-06-2022 04:40
User 4,AE,Device 0,0,arr,Arrow: Season 3:Sara,play,title_results,13-06-2022 02:24
User 4,AE,Device 0,0,arr,,select,title_results,13-06-2022 02:24
User 4,AE,Device 0,0,arr,Arrow: Season 2:City of Blood,play,title_results,12-06-2022 19:35
User 4,AE,Device 0,0,arr,,select,title_results,12-06-2022 19:35
User 4,AE,Device 0,0,arr,,select,title_results,12-06-2022 19:35
User 4,AE,Device 0,0,arr,,select,title_results,12-06-2022 19:34
User 4,AE,Device 0,0,arr,Arrow: Season 2:Deathstroke,play,title_results,12-06-2022 16:27
User 4,AE,Device 0,0,arr,,select,title_results,12-06-2022 16:27
User 4,AE,Device 0,0,arr,Arrow: Season 2:Tremors,play,title_results,12-06-2022 06:06
User 4,AE,Device 0,0,arr,,select,title_results,12-06-2022 06:06
User 4,AE,Device 0,0,cbi,CBI 5: The Brain,play,title_results,12-06-2022 02:18
User 4,AE,Device 0,0,cbi,CBI 5: The Brain,select,title_results,12-06-2022 02:18
User 4,AE,Device 0,0,flash,Arrow: Season 2:The Scientist,play,title_results,11-06-2022 19:20
User 4,AE,Device 0,0,flash,,select,title_results,11-06-2022 19:20
User 4,AE,Device 0,0,arr,Arrow: Season 2:Keep Your Enemies Closer,play,title_results,11-06-2022 17:40
User 4,AE,Device 0,0,arr,,select,title_results,11-06-2022 17:40
User 4,AE,Device 0,0,arr,Arrow: Season 2:League of Assassins,play,title_results,11-06-2022 17:30
User 4,AE,Device 0,0,arr,,select,title_results,11-06-2022 17:30
User 4,AE,Device 0,0,arr,Arrow: Season 1:The Undertaking,play,title_results,11-06-2022 06:40
User 4,AE,Device 0,0,arr,,select,title_results,11-06-2022 06:40
User 4,AE,Device 0,0,arr,Arrow: Season 1:Unfinished Business,play,title_results,11-06-2022 04:24
User 4,AE,Device 0,0,arr,,select,title_results,11-06-2022 04:24
User 4,AE,Device 0,0,arr,Arrow: Season 1:Salvation,play,title_results,11-06-2022 03:51
User 4,AE,Device 0,0,arr,,select,title_results,11-06-2022 03:51
User 4,AE,Device 0,0,arr,Arrow: Season 1:Dead to Rights,play,title_results,10-06-2022 18:32
User 4,AE,Device 0,0,arr,,select,title_results,10-06-2022 18:32
User 4,AE,Device 0,0,arr,Arrow: Season 1:The Odyssey,play,title_results,10-06-2022 16:46
User 4,AE,Device 0,0,arr,,select,title_results,10-06-2022 16:46
User 4,CA,Device 0,0,arr,Arrow: Season 1:The Odyssey,play,title_results,10-06-2022 16:31
User 4,AE,Device 0,0,arr,Arrow: Season 1:The Odyssey,play,title_results,10-06-2022 16:18
User 4,AE,Device 0,0,arr,Arrow: Season 1:Betrayal,play,title_results,10-06-2022 15:38
User 4,AE,Device 0,0,arr,,select,title_results,10-06-2022 15:38
User 4,AE,Device 0,0,ar,Arrow: Season 1:Legacies,play,title_results,10-06-2022 04:23
User 4,AE,Device 0,0,ar,Arrow: Season 1:Legacies,play,title_results,10-06-2022 03:57
User 4,AE,Device 0,0,ar,,select,title_results,10-06-2022 03:57
User 4,AE,Device 0,0,,Lucifer: Season 6:Buckets of Baggage,play,prequery_results,07-06-2022 03:56
User 4,AE,Device 0,0,,,select,prequery_results,07-06-2022 03:56
User 4,AE,Device 0,0,,Lucifer: Season 6:Nothing Ever Changes Around Here,play,prequery_results,07-06-2022 03:47
User 4,AE,Device 0,0,,,select,prequery_results,07-06-2022 03:47
User 4,AE,Device 0,0,,Lucifer: Season 5:A Chance at a Happy Ending,play,prequery_results,06-06-2022 05:24
User 4,AE,Device 0,0,,,select,prequery_results,06-06-2022 05:24
User 4,IN,Device 0,0,stranger things,,select,title_results,05-06-2022 13:59
User 4,IN,Device 0,0,stranger things,,select,title_results,05-06-2022 13:59
User 4,IN,Device 0,0,stranger things,,select,title_results,05-06-2022 13:59
User 4,IN,Device 0,0,stranger things,,select,title_results,05-06-2022 13:59
User 4,IN,Device 0,0,stra,Stranger Things 3: The Game (Mobile Game),select,title_results,05-06-2022 13:59
User 4,IN,Device 0,0,stra,Stranger Things 3: The Game (Mobile Game),select,title_results,05-06-2022 13:59
User 4,AE,Device 0,0,,Lucifer: Season 5:Our Mojo,play,prequery_results,05-06-2022 08:56
User 4,AE,Device 0,0,,,select,prequery_results,05-06-2022 08:56
User 4,AE,Device 0,0,,Lucifer: Season 5:Detective Amenadiel,play,prequery_results,05-06-2022 06:38
User 4,AE,Device 0,0,,,select,prequery_results,05-06-2022 06:38
User 4,AE,Device 0,0,,Lucifer: Season 4:Save Lucifer,play,prequery_results,04-06-2022 08:36
User 4,AE,Device 0,0,,,select,prequery_results,04-06-2022 08:36
User 4,AE,Device 0,0,,Lucifer: Season 4:Orgy Pants to Work,play,prequery_results,04-06-2022 05:57
User 4,AE,Device 0,0,,,select,prequery_results,04-06-2022 05:57
User 4,AE,Device 0,0,,Lucifer: Season 4:Orgy Pants to Work,play,prequery_results,04-06-2022 04:52
User 4,AE,Device 0,0,,,select,prequery_results,04-06-2022 04:52
User 4,AE,Device 0,0,,Lucifer: Season 4:All About Eve,play,prequery_results,03-06-2022 22:30
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 22:30
User 4,AE,Device 0,0,,Through My Window,select,prequery_results,03-06-2022 18:29
User 4,AE,Device 0,0,,Lucifer: Season 4:Somebody’s Been Reading Dante’s Inferno,play,prequery_results,03-06-2022 18:17
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 18:17
User 4,AE,Device 0,0,,Lucifer: Season 4:Everything's Okay,play,prequery_results,03-06-2022 17:24
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 17:23
User 4,AE,Device 0,0,,Lucifer: Season 4:Everything's Okay,play,prequery_results,03-06-2022 17:15
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 17:15
User 4,AE,Device 0,0,,Lucifer: Season 4:Everything's Okay,play,prequery_results,03-06-2022 16:47
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 16:47
User 4,AE,Device 0,0,,Lucifer: Season 3:Let Pinhead Sing!,play,prequery_results,03-06-2022 13:59
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 13:59
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 13:59
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 13:27
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 13:27
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 13:26
User 4,FR,Device 0,0,,,select,prequery_results,03-06-2022 13:26
User 4,FR,Device 0,0,,A Perfect Pairing,select,prequery_results,03-06-2022 13:26
User 4,FR,Device 0,0,,,select,prequery_results,03-06-2022 13:26
User 4,AE,Device 0,0,jana ,Jana 2022 (Kannada),select,title_results,02-06-2022 08:55
User 4,AE,Device 0,0,jana ,Jana Gana Mana,select,title_results,02-06-2022 08:55
User 4,AE,Device 0,0,o,The Originals: Season 1:Reigning Pain in New Orleans,play,title_results,29-05-2022 12:27
User 4,AE,Device 0,0,o,,select,title_results,29-05-2022 12:27
User 4,AE,Device 0,0,ori,The Originals: Season 1:The River in Reverse,play,title_results,29-05-2022 10:35
User 4,AE,Device 0,0,ori,,select,title_results,29-05-2022 10:35
User 4,AE,Device 0,0,the ori,The Originals: Season 1:Bloodletting,play,title_results,29-05-2022 04:36
User 4,AE,Device 0,0,the ori,,select,title_results,29-05-2022 04:36
User 4,AE,Device 0,0,thr o,The Originals: Season 1:Fruit of the Poisoned Tree,play,title_results,29-05-2022 03:17
User 4,AE,Device 0,0,thr o,,select,title_results,29-05-2022 03:17
User 4,AE,Device 0,0,or,The Originals: Season 1:Always and Forever,play,title_results,28-05-2022 13:15
User 4,AE,Device 0,0,or,,select,title_results,28-05-2022 13:15
User 4,CA,Device 0,0,stra,Stranger Things 4:Chapter Three: The Monster and the Superhero,play,title_results,27-05-2022 20:01
User 4,CA,Device 0,0,stra,Stranger Things 4:Chapter Three: The Monster and the Superhero,play,title_results,27-05-2022 20:01
User 4,CA,Device 0,0,stra,,select,title_results,27-05-2022 20:01
User 4,CA,Device 0,0,stra,,select,title_results,27-05-2022 20:01
User 4,AE,Device 0,0,,,select,prequery_results,26-05-2022 05:06
User 4,AE,Device 0,0,,,select,prequery_results,26-05-2022 05:06
User 4,AE,Device 0,0,,,select,prequery_results,26-05-2022 05:06
User 4,AE,Device 0,0,nawa,Class of '83,select,title_results,25-05-2022 16:43
User 4,AE,Device 0,0,nawa,Haseen Dillruba,select,title_results,25-05-2022 16:43
User 4,AE,Device 0,0,,Ala Vaikunthapurramuloo,select,prequery_results,25-05-2022 16:43
User 4,AE,Device 0,0,rrr ta,Maha Samudram (Tamil),select,title_results,25-05-2022 13:55
User 4,AE,Device 0,0,,The Roommate,select,prequery_results,25-05-2022 13:52
User 4,AE,Device 0,0,,The Devil All The Time,select,prequery_results,25-05-2022 13:51
User 4,IN,Device 2,0,don,Don't Look Up,play,title_results,24-05-2022 08:04
User 4,IN,Device 2,0,don,Don't Look Up,select,title_results,24-05-2022 08:04
User 4,AE,Device 0,0,takerz,Street Kings,play,title_results,18-05-2022 13:35
User 4,AE,Device 0,0,takerz,Street Kings,select,title_results,18-05-2022 13:35
User 4,AE,Device 0,0,takerz,Blue Streak,select,title_results,18-05-2022 13:34
User 4,AE,Device 0,0,takerz,Takers,play,title_results,18-05-2022 13:25
User 4,AE,Device 0,0,takerz,Takers,select,title_results,18-05-2022 13:24
User 4,AE,Device 0,0,,Suits: Season 8:Rocky 8,play,prequery_results,11-05-2022 16:43
User 4,AE,Device 0,0,,,select,prequery_results,11-05-2022 16:43
User 4,AE,Device 0,0,,,select,prequery_results,11-05-2022 16:42
User 4,IN,Device 3,0,365,365 Days,play,title_results,10-05-2022 17:35
User 4,IN,Device 3,0,365,365 Days,add,title_results,10-05-2022 17:34
User 4,IN,Device 3,0,365,365 Days,select,title_results,10-05-2022 17:34
User 4,IN,Device 3,0,365,Gangubai Kathiawadi,add,title_results,10-05-2022 17:34
User 4,IN,Device 3,0,365,Gangubai Kathiawadi,select,title_results,10-05-2022 17:34
User 4,AE,Device 0,0,,The Blacklist: Season 6:Rassvet,play,prequery_results,08-05-2022 11:49
User 4,AE,Device 0,0,,,select,prequery_results,08-05-2022 11:49
User 4,AE,Device 0,0,,The Blacklist: Season 6:Rassvet,play,prequery_results,08-05-2022 09:05
User 4,AE,Device 0,0,,,select,prequery_results,08-05-2022 09:05
User 4,AE,Device 0,0,,The Blacklist: Season 6:Olivia Olson (No. 115),play,prequery_results,08-05-2022 02:32
